transaction_id,user_id,product_id,count
T0001,139,P036,1
T0002,157,P021,1
T0003,171,P033,3
T0004,133,P023,5
T0005,136,P026,1
T0006,102,P023,5
T0007,106,P039,3
T0008,194,P044,5
T0009,128,P013,5
T0010,116,P002,2
T0011,163,P008,1
T0012,144,P047,5
T0013,152,P012,2
T0014,110,P046,5
T0015,104,P025,1
T0016,185,P029,3
T0017,130,P010,1
T0018,143,P026,3
T0019,144,P044,2
T0020,188,P005,2
T0021,157,P034,5
T0022,199,P043,2
T0023,149,P024,3
T0024,185,P017,4
T0025,183,P013,3
T0026,148,P006,4
T0027,131,P028,1
T0028,129,P002,4
T0029,117,P008,1
T0030,177,P019,5
T0031,139,P023,1
T0032,171,P003,1
T0033,193,P021,5
T0034,182,P023,2
T0035,171,P044,4
T0036,114,P006,3
T0037,182,P021,4
T0038,145,P030,5
T0039,189,P021,2
T0040,136,P043,2
T0041,120,P002,1
T0042,192,P014,2
T0043,195,P010,1
T0044,172,P009,2
T0045,195,P036,5
T0046,140,P030,3
T0047,111,P037,1
T0048,163,P036,1
T0049,199,P046,5
T0050,140,P005,2
T0051,132,P008,4
T0052,177,P002,2
T0053,196,P039,1
T0054,161,P004,3
T0055,139,P031,1
T0056,192,P022,5
T0057,164,P005,5
T0058,194,P005,3
T0059,166,P039,4
T0060,123,P022,4
T0061,123,P012,3
T0062,142,P044,3
T0063,174,P012,4
T0064,139,P010,5
T0065,122,P011,3
T0066,163,P044,4
T0067,111,P049,1
T0068,161,P003,5
T0069,109,P030,3
T0070,169,P003,4
T0071,147,P024,1
T0072,152,P050,1
T0073,116,P020,5
T0074,173,P046,2
T0075,187,P040,5
T0076,113,P043,2
T0077,172,P046,1
T0078,157,P047,1
T0079,106,P040,2
T0080,164,P048,2
T0081,186,P020,4
T0082,162,P001,1
T0083,183,P030,4
T0084,166,P044,3
T0085,115,P050,2
T0086,142,P047,2
T0087,127,P033,5
T0088,164,P014,2
T0089,144,P015,4
T0090,167,P004,4
T0091,170,P038,5
T0092,194,P010,5
T0093,110,P042,1
T0094,191,P023,1
T0095,196,P004,5
T0096,148,P045,5
T0097,182,P005,2
T0098,138,P015,5
T0099,193,P046,1
T0100,157,P017,4
T0101,172,P018,3
T0102,175,P018,5
T0103,147,P028,4
T0104,118,P047,3
T0105,179,P038,3
T0106,122,P018,4
T0107,124,P019,2
T0108,115,P008,3
T0109,140,P025,5
T0110,163,P048,3
T0111,129,P041,5
T0112,168,P037,3
T0113,108,P033,4
T0114,152,P022,4
T0115,187,P048,5
T0116,165,P010,5
T0117,153,P008,1
T0118,152,P022,1
T0119,199,P001,4
T0120,153,P049,4
T0121,111,P010,5
T0122,191,P036,4
T0123,159,P034,1
T0124,182,P008,2
T0125,142,P043,1
T0126,191,P043,5
T0127,110,P039,4
T0128,187,P043,5
T0129,152,P050,2
T0130,115,P012,3
T0131,137,P042,1
T0132,197,P039,1
T0133,179,P011,2
T0134,142,P027,5
T0135,107,P026,3
T0136,130,P016,4
T0137,158,P019,4
T0138,117,P003,4
T0139,139,P018,5
T0140,139,P015,1
T0141,137,P020,2
T0142,180,P046,4
T0143,163,P048,5
T0144,117,P047,5
T0145,138,P044,5
T0146,145,P049,1
T0147,165,P021,4
T0148,173,P026,5
T0149,179,P043,2
T0150,112,P025,3
T0151,143,P032,5
T0152,128,P001,3
T0153,193,P039,2
T0154,161,P034,5
T0155,151,P030,5
T0156,110,P027,2
T0157,171,P025,3
T0158,163,P024,3
T0159,177,P014,4
T0160,120,P014,3
T0161,106,P026,5
T0162,107,P044,5
T0163,122,P039,4
T0164,110,P030,1
T0165,188,P030,4
T0166,121,P021,5
T0167,111,P039,3
T0168,140,P038,1
T0169,151,P042,3
T0170,177,P025,2
T0171,141,P045,2
T0172,109,P046,5
T0173,103,P022,3
T0174,179,P016,1
T0175,112,P034,1
T0176,183,P006,2
T0177,199,P041,3
T0178,161,P038,4
T0179,194,P039,5
T0180,141,P046,2
T0181,152,P009,3
T0182,105,P019,2
T0183,131,P047,5
T0184,193,P032,1
T0185,158,P048,4
T0186,200,P005,5
T0187,172,P028,3
T0188,189,P034,3
T0189,170,P007,5
T0190,116,P050,3
T0191,172,P032,1
T0192,106,P021,5
T0193,140,P016,3
T0194,185,P016,2
T0195,140,P010,4
T0196,167,P032,5
T0197,162,P029,3
T0198,112,P045,3
T0199,194,P046,4
T0200,103,P040,1
T0201,118,P048,3
T0202,182,P035,3
T0203,105,P008,2
T0204,198,P006,2
T0205,105,P049,4
T0206,187,P015,1
T0207,162,P005,5
T0208,199,P005,5
T0209,124,P043,4
T0210,133,P029,5
T0211,171,P034,3
T0212,163,P013,3
T0213,120,P018,1
T0214,154,P016,1
T0215,104,P032,4
T0216,139,P042,1
T0217,176,P019,1
T0218,151,P026,4
T0219,196,P050,5
T0220,113,P011,3
T0221,117,P022,2
T0222,106,P045,3
T0223,138,P050,5
T0224,167,P017,2
T0225,133,P035,1
T0226,123,P008,3
T0227,191,P022,5
T0228,178,P002,5
T0229,144,P020,1
T0230,141,P034,1
T0231,154,P043,5
T0232,178,P002,1
T0233,154,P010,5
T0234,193,P049,4
T0235,155,P021,4
T0236,195,P041,3
T0237,145,P025,5
T0238,186,P029,2
T0239,139,P050,2
T0240,186,P037,5
T0241,142,P023,1
T0242,161,P025,5
T0243,146,P026,2
T0244,149,P006,5
T0245,136,P015,5
T0246,171,P035,2
T0247,107,P012,3
T0248,124,P038,4
T0249,137,P022,2
T0250,175,P044,3
T0251,168,P016,1
T0252,144,P041,2
T0253,166,P011,4
T0254,186,P037,5
T0255,183,P050,3
T0256,200,P038,4
T0257,175,P044,3
T0258,190,P026,5
T0259,131,P036,1
T0260,195,P010,2
T0261,122,P004,5
T0262,144,P027,3
T0263,183,P024,3
T0264,149,P036,4
T0265,144,P050,2
T0266,180,P033,2
T0267,122,P027,3
T0268,199,P037,4
T0269,182,P046,2
T0270,132,P035,1
T0271,173,P048,1
T0272,113,P031,4
T0273,187,P023,4
T0274,194,P022,1
T0275,162,P038,1
T0276,183,P001,4
T0277,196,P024,5
T0278,108,P033,5
T0279,148,P039,1
T0280,153,P037,4
T0281,199,P027,2
T0282,152,P016,4
T0283,103,P027,2
T0284,145,P033,2
T0285,168,P012,1
T0286,119,P039,4
T0287,168,P006,5
T0288,181,P041,2
T0289,132,P030,5
T0290,167,P014,3
T0291,154,P007,5
T0292,169,P034,5
T0293,121,P002,3
T0294,191,P028,5
T0295,104,P041,4
T0296,176,P009,4
T0297,178,P049,2
T0298,105,P009,4
T0299,125,P001,4
T0300,140,P016,4
T0301,179,P027,4
T0302,124,P029,3
T0303,107,P031,1
T0304,110,P021,4
T0305,114,P020,5
T0306,186,P007,5
T0307,152,P027,5
T0308,140,P048,5
T0309,147,P025,5
T0310,192,P034,2
T0311,129,P047,3
T0312,158,P017,4
T0313,132,P006,2
T0314,156,P044,3
T0315,192,P036,4
T0316,171,P040,5
T0317,149,P034,1
T0318,115,P026,1
T0319,197,P031,5
T0320,177,P048,3
T0321,194,P031,5
T0322,145,P022,4
T0323,190,P025,4
T0324,149,P032,4
T0325,186,P043,1
T0326,123,P003,4
T0327,111,P042,1
T0328,186,P034,2
T0329,112,P042,1
T0330,106,P014,4
T0331,113,P031,2
T0332,129,P009,3
T0333,117,P028,5
T0334,110,P012,3
T0335,165,P009,1
T0336,110,P012,2
T0337,162,P008,4
T0338,131,P021,1
T0339,167,P024,1
T0340,127,P006,2
T0341,144,P034,3
T0342,189,P029,1
T0343,174,P038,1
T0344,164,P015,4
T0345,172,P048,4
T0346,127,P013,5
T0347,111,P021,3
T0348,120,P020,4
T0349,110,P020,4
T0350,101,P007,4
T0351,141,P047,2
T0352,151,P030,2
T0353,166,P016,4
T0354,136,P047,1
T0355,110,P012,4
T0356,115,P001,4
T0357,159,P010,1
T0358,150,P028,3
T0359,168,P008,3
T0360,111,P045,5
T0361,156,P036,1
T0362,114,P006,5
T0363,150,P041,4
T0364,153,P028,5
T0365,155,P043,3
T0366,140,P007,4
T0367,146,P027,5
T0368,198,P037,5
T0369,132,P029,5
T0370,153,P014,1
T0371,112,P007,1
T0372,196,P028,1
T0373,137,P036,2
T0374,119,P009,5
T0375,103,P041,2
T0376,199,P034,2
T0377,148,P046,2
T0378,143,P006,2
T0379,117,P024,4
T0380,152,P043,3
T0381,164,P044,2
T0382,133,P007,1
T0383,152,P020,4
T0384,128,P044,5
T0385,104,P011,1
T0386,102,P020,2
T0387,103,P026,1
T0388,172,P023,3
T0389,106,P046,4
T0390,113,P001,4
T0391,111,P028,5
T0392,138,P044,5
T0393,113,P007,1
T0394,125,P006,1
T0395,190,P035,4
T0396,138,P014,1
T0397,137,P026,1
T0398,137,P039,4
T0399,197,P036,5
T0400,197,P019,2
T0401,135,P038,5
T0402,104,P011,1
T0403,124,P050,1
T0404,104,P014,4
T0405,119,P038,4
T0406,159,P040,4
T0407,105,P043,2
T0408,158,P012,1
T0409,196,P035,3
T0410,106,P008,2
T0411,138,P039,3
T0412,141,P011,3
T0413,166,P049,1
T0414,105,P001,5
T0415,140,P025,1
T0416,179,P037,3
T0417,120,P006,4
T0418,107,P039,5
T0419,178,P030,5
T0420,166,P024,1
T0421,140,P044,1
T0422,125,P025,3
T0423,136,P034,2
T0424,101,P018,3
T0425,175,P003,5
T0426,166,P040,3
T0427,165,P050,5
T0428,166,P042,3
T0429,185,P049,3
T0430,172,P036,5
T0431,170,P039,3
T0432,142,P027,1
T0433,114,P036,2
T0434,177,P050,4
T0435,127,P045,1
T0436,174,P014,2
T0437,140,P028,1
T0438,157,P015,4
T0439,174,P043,4
T0440,136,P040,2
T0441,161,P036,1
T0442,140,P029,1
T0443,132,P050,1
T0444,128,P031,4
T0445,136,P044,2
T0446,179,P016,2
T0447,197,P016,3
T0448,152,P034,1
T0449,137,P041,2
T0450,148,P020,3
T0451,101,P037,1
T0452,172,P002,1
T0453,167,P028,5
T0454,101,P001,2
T0455,122,P031,1
T0456,166,P023,4
T0457,135,P021,5
T0458,150,P049,2
T0459,119,P016,1
T0460,153,P020,5
T0461,193,P003,3
T0462,151,P018,1
T0463,167,P004,3
T0464,183,P044,3
T0465,192,P028,1
T0466,180,P033,5
T0467,185,P046,2
T0468,133,P047,1
T0469,194,P028,1
T0470,174,P047,2
T0471,196,P014,3
T0472,115,P036,4
T0473,187,P024,3
T0474,194,P024,5
T0475,166,P049,2
T0476,143,P007,5
T0477,143,P025,1
T0478,171,P038,1
T0479,195,P014,1
T0480,137,P007,3
T0481,176,P045,2
T0482,185,P002,2
T0483,141,P015,4
T0484,160,P004,2
T0485,111,P038,4
T0486,103,P019,2
T0487,156,P024,5
T0488,118,P046,5
T0489,137,P046,2
T0490,117,P044,5
T0491,127,P031,2
T0492,136,P025,3
T0493,169,P040,2
T0494,120,P048,2
T0495,139,P004,1
T0496,149,P004,2
T0497,118,P014,1
T0498,120,P011,2
T0499,139,P005,2
T0500,147,P044,5
